Swing Thai,3035555555,Thai,1301 Holly Street,Denver,CO,80202,Menu,Stuffed Sausage,Delicious stuffed sausage,12.99,Appetizer,Panini,Toasted sandwich,15.73,Lunch,Salmon,Flown in from Anchorage daily,32,Dinner
Papa's Pizza,7205567890,Pizza,1768 Monaco Pkwy,Denver,CO,80201,Menu,Stuffed Sausage,Delicious stuffed sausage,12.99,Appetizer,Panini,Toasted sandwich,15.73,Lunch,Salmon,Flown in from Anchorage daily,32,Dinner
Roca Ritalia,3036569870,Italian,302 Colorado Blvd,Denver,CO,80220,Menu,Stuffed Sausage,Delicious stuffed sausage,12.99,Appetizer,Panini,Toasted sandwich,15.73,Lunch,Salmon,Flown in from Anchorage daily,32,Dinner
Zaidys,3035555555,American,1301 Holly Street,Denver,CO,80202,Menu,Stuffed Sausage,Delicious stuffed sausage,12.99,Appetizer,Panini,Toasted sandwich,15.73,Lunch,Salmon,Flown in from Anchorage daily,32,Dinner
Bagels Bagels Bagels,7205567890,Mediterranean,1768 Monaco Pkwy,Denver,CO,80201,Menu,Stuffed Sausage,Delicious stuffed sausage,12.99,Appetizer,Panini,Toasted sandwich,15.73,Lunch,Salmon,Flown in from Anchorage daily,32,Dinner
Diner,3036569870,Mexican,302 Colorado Blvd,Denver,CO,80220,Menu,Stuffed Sausage,Delicious stuffed sausage,12.99,Appetizer,Panini,Toasted sandwich,15.73,Lunch,Salmon,Flown in from Anchorage daily,32,Dinner
Gunther Toodys,3035555555,Chinese,1301 Holly Street,Denver,CO,80202,Menu,Stuffed Sausage,Delicious stuffed sausage,12.99,Appetizer,Panini,Toasted sandwich,15.73,Lunch,Salmon,Flown in from Anchorage daily,32,Dinner
Swell Sausage House,7205567890,Sushi,1768 Monaco Pkwy,Denver,CO,80201,Menu,Stuffed Sausage,Delicious stuffed sausage,12.99,Appetizer,Panini,Toasted sandwich,15.73,Lunch,Salmon,Flown in from Anchorage daily,32,Dinner
Roca Ritalia,3036569870,Indian,302 Colorado Blvd,Denver,CO,80220,Menu,Stuffed Sausage,Delicious stuffed sausage,12.99,Appetizer,Panini,Toasted sandwich,15.73,Lunch,Salmon,Flown in from Anchorage daily,32,Dinner
Swing Thai,3035555555,Thai,1301 Holly Street,Denver,CO,80202,Menu,Stuffed Sausage,Delicious stuffed sausage,12.99,Appetizer,Panini,Toasted sandwich,15.73,Lunch,Salmon,Flown in from Anchorage daily,32,Dinner
Papa's Pizza,7205567890,Pizza,1768 Monaco Pkwy,Denver,CO,80201,Menu,Stuffed Sausage,Delicious stuffed sausage,12.99,Appetizer,Panini,Toasted sandwich,15.73,Lunch,Salmon,Flown in from Anchorage daily,32,Dinner
Roca Ritalia,3036569870,Italian,302 Colorado Blvd,Denver,CO,80220,Menu,Stuffed Sausage,Delicious stuffed sausage,12.99,Appetizer,Panini,Toasted sandwich,15.73,Lunch,Salmon,Flown in from Anchorage daily,32,Dinner
